ID	FluxPsiDiff	NumIsoform	Type	RegP	FluxPsiG1	FluxPsiG2	TotalCountG1	TotalCountG2
ASM#10813	0.5869184455386666	5	NA	0.0903905055727812	0.8758073344276666	0.288888888889	29.333333333333332	5.333333333333333
ASM#10814	0.08755857263	6	NA	0.0109660784862305	0.5997536945813333	0.5121951219513333	30.666666666666668	45.0
ASM#10815	0.0010607442513676667	24	NA	0.483611334810747	0.997810486737	0.9988712309883333	898.0	2084.0
ASM#10816	NA	2	NA	NA	NA	NA	2.0	5.0
ASM#10817	0.10794602698633332	27	NA	0.272244169322952	0.34788802180100004	0.43193205262133333	18.0	33.666666666666664
ASM#10818	0.03227486853539997	3	NA	0.357133046057283	0.842320261438	0.8163778668486666	52.0	105.33333333333333
ASM#10819	0.006332473946666695	2	ASS	0.741763748428569	0.943560757636	0.9498932315826667	52.0	105.33333333333333
ASM#10820	0.0	2	NA	1	1.0	1.0	192.66666666666666	130.0
ASM#10821	NA	2	NA	NA	NA	NA	0.0	4.0
ASM#10822	0.003674013260663333	3	NA	0.115014828778386	0.994339736463	0.9906657232026667	1671.0	1109.3333333333333
ASM#10823	0.0026527920133331273	2	SE	0.124739088617851	0.9957178133516665	0.9930650213383334	2214.0	1489.6666666666667
ASM#10824	0.07874021403403333	7	NA	0.38055174529817	0.829057938965	0.7756856257806666	35.666666666666664	34.666666666666664
ASM#10825	0.05196433110166665	253	NA	0.0656452754497893	0.18689936749766667	0.23886369859933332	1201.6666666666667	753.0
ASM#10826	0.058889611724933344	55	NA	0.0896980378604108	0.654601840736	0.6313623565086667	62.333333333333336	73.33333333333333
ASM#10827	0.30699968876433337	22	NA	0.00208901593114982	0.6015873015873333	0.29644153957900005	13.0	51.666666666666664
ASM#10828	0.0014617504186666963	2	NA	0.774586759549692	0.9953030678906667	0.993841317472	139.0	213.66666666666666
ASM#10829	0.020175484347499995	12	NA	0.625514048861399	0.77165253499	0.7753187828883332	142.0	306.3333333333333
ASM#10830	0.03782785471230003	10	NA	0.0837273021942975	0.5601187530923334	0.5803815841400001	221.66666666666666	455.3333333333333
ASM#10831	0.013037120280666725	3	NA	0.86756901175555	0.7977497939546666	0.8107869142353333	32.666666666666664	28.0
ASM#10832	0.0026166373683333966	4	NA	0.762483608054414	0.812440645774	0.8150572831423334	26.666666666666668	50.333333333333336
ASM#10833	0.003945789872666472	5	NA	0.6066269823498	0.9726551816313332	0.9687093917586668	417.0	542.3333333333334
ASM#10834	0.08816051908123335	27	NA	0.00692615296310459	0.6135619763526666	0.5760515783563334	124.66666666666667	127.0
ASM#10835	0.031111004270999998	63	NA	0.0415485219469715	0.5361493700276667	0.5236831496783334	228.66666666666666	232.0
ASM#10836	0.0	2	NA	1	1.0	1.0	9.333333333333334	25.333333333333332
ASM#10837	0.02615384615400007	5	NA	0.183660332032486	1.0	0.9738461538459999	9.333333333333334	26.0
ASM#10838	0.063461941104	2	NA	0.059739711352421	0.5000000000000001	0.5634619411039999	138.66666666666666	178.0
ASM#10839	NA	2	SE	NA	NA	NA	0.0	2.6666666666666665
ASM#10840	0.027909594029000062	2	SE	0.0726777830838618	0.9453276418163333	0.9174180477873333	767.6666666666666	681.0
ASM#10841	0.018613550889033333	4	NA	0.170990591716701	0.7235627028543332	0.7304271921553332	726.0	624.3333333333334
ASM#10842	0.07151922622866658	63	NA	0.0913367290181129	0.6338470319633333	0.5623278057346667	136.66666666666666	280.0
ASM#10843	0.04816595596733331	3	NA	0.036854110391306	0.8893743472056667	0.8412083912383334	81.66666666666667	140.66666666666666
ASM#10844	0.11860042735066667	2	NA	0.157182332374437	0.46153846153833333	0.580138888889	11.0	25.0
ASM#10845	0.03222696078866666	6	NA	0.0805618205667855	0.8067116495116666	0.806799678936	248.66666666666666	343.3333333333333
ASM#10846	0.03932721524500005	36	NA	0.0481719704142817	0.6962596865093333	0.6569324712643333	160.0	188.66666666666666
ASM#10847	0.09377911079633328	4	NA	0.00832207227435669	0.61180693013	0.5180278193336667	93.66666666666667	140.33333333333334
ASM#10848	NA	46	NA	NA	NA	NA	11.666666666666666	7.0
ASM#10849	0.00622461842266675	4	NA	0.614306061140011	0.9539321824733333	0.9601568008960001	286.0	527.0
ASM#10850	0.1427337872816667	2	NA	0.0894417845637397	0.8096471650993333	0.952380952381	37.0	6.666666666666667
ASM#10851	0.007020302697333225	4	NA	0.475849090200841	0.980581323319	0.9876016260163333	101.33333333333333	82.0
ASM#10852	0.02874213983966656	14	NA	0.307375003132848	0.9008235073583334	0.929565647198	312.0	731.6666666666666
ASM#10853	0.042261935386323335	2	NA	0.0100950308170159	0.9918969688483333	0.9496350334623332	1513.6666666666667	852.6666666666666
ASM#10854	0.03205633180103332	27	NA	0.0791554536454427	0.449537845917	0.4699401101746667	287.0	388.0
ASM#10855	0.02923372227733334	13	NA	0.399615241486873	0.6200909961683333	0.622470498497	56.666666666666664	39.333333333333336
ASM#10856	0.03519860440133327	3	NA	0.268959207902526	0.9536890645583332	0.918490460157	21.666666666666668	24.333333333333332
ASM#10857	0.06101839652600005	2	NA	0.0510338112723448	0.5832015810276666	0.6442199775536667	21.666666666666668	24.333333333333332
ASM#10858	0.0022414356368233336	3	NA	0.306809675038667	0.9961083993466667	0.9983498349833333	258.0	204.66666666666666
ASM#10859	0.0005924796451400004	2	ASS	0.769778702935692	0.9908043693146666	0.9902118896696667	258.0	204.66666666666666
ASM#10860	0.04407494471133333	2	SE	0.0478905800563285	0.8061689829133334	0.7620940382020001	258.0	204.66666666666666
ASM#10861	0.013977917112666716	2	NA	0.513900363870902	0.565436005349	0.5794139224616667	151.0	147.0
ASM#10862	0.018461391351	4	NA	0.656868523319038	0.433526163661	0.4323903298866667	149.33333333333334	146.33333333333334
ASM#10863	0.023684582456543334	25	NA	0.016352157322666	0.6507078290113334	0.6487594491043333	329.3333333333333	307.6666666666667
ASM#10864	0.010503756159000122	7	NA	0.632642943088928	0.7960873232203333	0.8065910793793334	276.0	236.33333333333334
ASM#10865	0.023200771082666667	3	NA	0.393319829556253	0.9881662149956667	0.9655927698033334	84.33333333333333	213.66666666666666
ASM#10866	0.0006273258906666079	2	NA	0.8867865568123	0.9962962962963333	0.9969236221869999	84.33333333333333	213.66666666666666
ASM#10867	0.023200771082666716	2	NA	0.393319829556253	0.9918699186993334	0.9686691476166667	84.33333333333333	213.66666666666666
ASM#10868	0.08791813621466649	15	NA	0.0945265447327048	0.6178266178270001	0.7057447540416666	13.0	17.0
