ID	FluxPsiDiff	NumIsoform	Type	FluxPsiG1	FluxPsiG2
ASM#54	0.03289213871233332	4	NA	0.6357150481616666	0.6033525730523334
ASM#55	NA	2	NA	NA	NA
ASM#56	0.08389024368966658	39	NA	0.9342042922706666	0.850314048581
ASM#57	0.001529944347666845	3	NA	0.7634649301316666	0.7649948744793335
ASM#58	0.066447212739	2	NA	0.75162601626	0.8180732289989999
ASM#59	0.0421158558100001	4	NA	0.8655098063863332	0.9076256621963333
ASM#60	0.3303659863488667	19	NA	0.21242558208100001	0.3990564816206667
ASM#61	0.04538400545953335	14	NA	0.880716221448	0.83891791478
ASM#62	0.04702298681199997	29	NA	0.5397630709746667	0.49305555555566666
ASM#63	0.09890109890100018	2	NA	0.6732600732600001	0.574358974359
ASM#64	0.010347302772733366	2	NA	0.870454164572	0.8808014673446666
ASM#65	0.09846281169833337	57	NA	0.640756302521	0.7392191142193333
ASM#66	NA	2	SE	NA	NA
ASM#67	0.0068562986792333296	3	NA	0.8851421802696667	0.8907449377136666
ASM#68	NA	11	NA	NA	NA
ASM#69	NA	2	NA	NA	NA
ASM#70	0.028329443655666697	84	NA	0.6931177510526667	0.7214471947083334
ASM#71	0.13778952951400003	10	NA	0.6455733808676667	0.7833629103816667
ASM#72	NA	3	NA	NA	NA
ASM#73	0.03481102585966667	2	NA	1.0	0.9651889741403333
ASM#74	0.11888306872533334	31	NA	0.6521377935313333	0.722657136374
ASM#75	0.004376647370333275	12	NA	0.991760748739	0.9873841013686667
ASM#76	0.18508638699999996	5	NA	0.46423054070099995	0.6087782721539999
ASM#77	0.041621524016000055	2	NA	0.7269230769230001	0.685301552907
ASM#78	0.03582511307000001	7	NA	0.5743627149876667	0.5880983909153333
ASM#79	0.11309205802200001	16	NA	0.5499768331686666	0.4368847751466666
ASM#80	NA	12	NA	NA	NA
ASM#81	0.15095480385033322	22	NA	0.5205428986020001	0.6714977024523333
ASM#82	0.06483995413613333	2	NA	0.9214522349846668	0.8566122808486667
ASM#83	0.1275542450816666	5	NA	0.4895509789206667	0.39123393320233335
ASM#84	NA	6	NA	NA	NA
ASM#85	0.014426681241666683	8	NA	0.48142857142866663	0.4958552526703333
ASM#86	0.018545321889000155	2	SE	0.9716507565423332	0.9901960784313334
ASM#87	0.02083333333333337	15	NA	0.9791666666666666	1.0
ASM#88	0.16911822514733338	2	SE	0.6537981215136667	0.4846798963663333
ASM#89	NA	108	NA	NA	NA
ASM#90	NA	6	NA	NA	NA
ASM#91	NA	7	NA	NA	NA
ASM#92	0.054942995080666635	6	NA	0.56665163298	0.5162176265416667
ASM#93	NA	2	NA	NA	NA
ASM#94	0.04574014454499997	8	NA	0.803878490788	0.849618635333
ASM#95	0.219024250603	29	NA	0.48456140350866667	0.427868427868
ASM#96	0.0036669910226665436	3	NA	0.9911129606986667	0.9947799517213333
ASM#97	NA	5	NA	NA	NA
ASM#98	0.002434156949206667	19	NA	0.9868746188499999	0.9867449339739999
ASM#99	NA	2	SE	NA	NA
ASM#100	NA	2	ASS	NA	NA
ASM#101	0.027987778138666673	4	NA	0.8549349564386667	0.8798449612403334
ASM#102	0.003665221311060002	7	NA	0.985035343661	0.9887005649716666
ASM#103	NA	52	NA	NA	NA
ASM#104	0.027170308528666753	3	NA	0.7966893424036666	0.8238596509323334
ASM#105	0.027170308528666753	3	NA	0.7966893424036666	0.8238596509323334
ASM#106	0.01897287698066652	6	NA	0.8657841853306666	0.8468113083500001
ASM#107	0.06761551122456666	14	NA	0.36762360446566666	0.3188086045226666
ASM#108	NA	2	NA	NA	NA
ASM#109	NA	2	NA	NA	NA
ASM#110	0.01418309186123333	2	NA	0.9162318878960001	0.9304149797569999
ASM#111	0.005110382175333217	2	NA	0.9119615062853335	0.9170718884606667
ASM#112	0.00577056965887	35	NA	0.9483296662776667	0.9529029824799999
ASM#113	0.03400737355833339	42	NA	0.853965837984	0.8199584644256667
ASM#114	NA	2	SE	NA	NA
ASM#115	0.07107410856399998	3	NA	0.5578454234156666	0.5957576138673333
ASM#116	0.002494322557666684	11	NA	0.9883392207043333	0.9858448981466666
ASM#117	0.4649122807016666	11	NA	0.0	0.4649122807016666
ASM#118	0.24299983434233335	4	NA	0.367761136713	0.6107609710553333
ASM#119	0.004527987966333247	2	SE	0.9918216070426666	0.9872936190763334
ASM#120	0.0	12	NA	1.0	1.0
ASM#121	0.08253998181766659	12	NA	0.48172367286599993	0.39918369104833334
ASM#122	0.04297060984983332	91	NA	0.7220833333333333	0.692260832578
ASM#123	NA	2	SE	NA	NA
ASM#124	0.012153962929376667	13	NA	0.9663413037773333	0.9619827237326666
ASM#125	0.181684981685	21	NA	0.936913895993	0.7945054945056667
ASM#126	NA	2	SE	NA	NA
ASM#127	0.022911220577333358	6	NA	0.5178721775736667	0.5101924916306667
ASM#128	0.03646723646733334	25	NA	0.8931623931623333	0.9296296296296666
ASM#129	NA	2	SE	NA	NA
ASM#130	NA	2	NA	NA	NA
ASM#131	0.0331356611043333	14	NA	0.49224806201533333	0.48865245816166664
ASM#132	NA	2	SE	NA	NA
ASM#133	NA	2	ASS	NA	NA
ASM#134	NA	2	NA	NA	NA
ASM#135	NA	3	NA	NA	NA
ASM#136	NA	2	NA	NA	NA
ASM#137	0.021159265348333456	3	NA	0.9194991055456668	0.8983398401973334
ASM#138	0.005581164663333471	2	ASS	0.9969696969696668	0.9913885323063333
ASM#139	NA	2	SE	NA	NA
ASM#140	0.016415213277666596	28	NA	0.6691900944350001	0.6856053077126667
ASM#141	NA	2	NA	NA	NA
ASM#142	0.011487555525033333	2	NA	0.9631130537806666	0.9516254982556666
ASM#143	NA	10	NA	NA	NA
ASM#144	0.01791057730900003	2	SE	0.7852434115593333	0.8031539888683333
ASM#145	NA	2	SE	NA	NA
ASM#146	NA	2	NA	NA	NA
ASM#147	0.037377381721666714	2	SE	0.592551892552	0.5551745108303333
ASM#148	0.04656352988593332	6	NA	0.7094620577380001	0.6654015759416666
ASM#149	0.04922769223366663	5	NA	0.879054916986	0.8298272247523334
ASM#150	0.037377381721666714	6	NA	0.592551892552	0.5551745108303333
ASM#151	0.014163318578666817	2	SE	0.826314952807	0.8404782713856668
ASM#152	0.02293625248800002	2	SE	0.826314952807	0.849251205295
ASM#153	NA	10	NA	NA	NA
ASM#154	0.031754944470333335	5	NA	0.9688289427853333	0.9370739983149999
ASM#155	NA	4	NA	NA	NA
ASM#156	0.012670578341666627	10	NA	0.9800032191593333	0.9926737975009999
ASM#157	0.012676984984733335	10	NA	0.6195858888413334	0.6262000086096666
ASM#158	0.02712455414966669	2	NA	0.7563241237663334	0.783448677916
ASM#159	0.010388922952000001	7	NA	0.7044737014003334	0.7148626243523334
ASM#160	0.1124505335039998	4	NA	0.7326658623663332	0.6202153288623334
ASM#161	0.0354052590406666	14	NA	0.6165812688566668	0.6519865278973334
ASM#162	0.029082913263666688	4	NA	0.7986085904416665	0.7701642467819999
ASM#163	NA	2	NA	NA	NA
ASM#164	0.100700746118	72	NA	0.537835249042	0.43713450292399997
ASM#165	0.035714285714333334	8	NA	0.9761904761903333	0.9642857142856668
ASM#166	0.05467632069600015	2	SE	0.7201197797553333	0.7747961004513334
ASM#167	0.004454102126433344	6	NA	0.9386164203573334	0.9425007219136666
ASM#168	0.017377677788333323	9	NA	0.8415912170963332	0.857760140166
ASM#169	NA	36	NA	NA	NA
ASM#170	0.08738017060633335	48	NA	0.4371794871793333	0.48704789833833334
ASM#171	0.020650252011133324	180	NA	0.3719530573836667	0.3894497999603333
ASM#172	0.010527117504986666	28	NA	0.868078361613	0.8627403327550001
ASM#173	NA	2	SE	NA	NA
ASM#174	0.010747546657333351	2	ASS	0.6159713284316667	0.6052237817743333
ASM#175	NA	2	NA	NA	NA
ASM#176	0.01979262961866668	3	NA	0.6941722728343334	0.713964902453
ASM#177	0.007097557949666666	2	SE	0.9685731616123333	0.9756707195619999
ASM#178	0.01612186993966669	3	NA	0.8157252744123333	0.831847144352
ASM#179	NA	2	NA	NA	NA
ASM#180	NA	2	NA	NA	NA
ASM#181	0.00524456386566674	2	SE	0.9472856645273334	0.9420411006616667
ASM#182	NA	2	NA	NA	NA
ASM#183	0.07412392601666662	87	NA	0.7417778759020001	0.6676539498853334
ASM#184	NA	2	NA	NA	NA
ASM#185	0.11866929812933336	89	NA	0.964924402363	0.8462551042336667
ASM#186	0.11685625104733333	2	NA	0.6956929780459999	0.5788367269986666
ASM#187	NA	4	NA	NA	NA
ASM#188	NA	17	NA	NA	NA
ASM#189	NA	4	NA	NA	NA
ASM#190	0.08562044233133337	3	NA	0.7821775676386666	0.6965571253073333
ASM#191	NA	2	NA	NA	NA
ASM#192	0.0007833575411663336	3	NA	0.9968662444563333	0.9965485747943333
ASM#193	NA	2	NA	NA	NA
ASM#194	0.0009944954180899999	2	NA	0.9960716928723333	0.9950771974543334
ASM#195	NA	2	NA	NA	NA
ASM#196	0.02155764533133342	2	NA	0.9350455745803332	0.9566032199116666
ASM#197	0.03554440114833335	3	NA	0.9567148898636666	0.9211704887153332
ASM#198	0.0036508353460399995	2	NA	0.9983579638753334	0.9947071285293333
ASM#199	0.02229900989700004	117	NA	0.3183525574336667	0.31997486478
ASM#200	0.03667355030839999	308	NA	0.645034156331	0.6186047625346667
ASM#201	0.007665475798000032	29	NA	0.916852630937	0.909187155139
ASM#202	0.0555827853526667	74	NA	0.40172261418866667	0.4278068826506667
ASM#203	NA	4	NA	NA	NA
ASM#204	NA	2	NA	NA	NA
ASM#205	NA	9	NA	NA	NA
ASM#206	0.190210756315	25	NA	0.48628724589266664	0.6061619110320001
ASM#207	NA	2	ASS	NA	NA
ASM#208	0.032933688035666875	8	NA	0.9136985979386667	0.8807649099029998
ASM#209	NA	7	NA	NA	NA
ASM#210	0.12511273910899995	25	NA	0.43202608671233333	0.3704458062966667
ASM#211	NA	2	NA	NA	NA
ASM#212	0.03516057585799992	4	NA	1.0	0.9648394241420001
ASM#213	NA	7	NA	NA	NA
ASM#214	0.0073511379574	2	SE	0.9471120984276666	0.9544632363850001
ASM#215	0.06300011605966671	4	NA	0.607425949103	0.6704260651626667
ASM#216	0.0032871533820130003	29	NA	0.993222809661	0.9951463135973334
ASM#217	0.05752599890533333	14	NA	0.5433760683763333	0.585878489327
ASM#218	NA	3	NA	NA	NA
ASM#219	NA	2	NA	NA	NA
ASM#220	0.07534656329833334	31	NA	0.7311762311763332	0.6558296678779999
ASM#221	0.011934139422333345	2	NA	0.7570120287946667	0.768946168217
ASM#222	0.9171268237934667	12	NA	0.08287317620653332	1.0
ASM#223	0.05069996910666663	175	NA	0.5275568560756666	0.47685688696899997
ASM#224	0.12329495588100015	10	NA	0.6952300150829999	0.818524970964
ASM#225	0.0019920914526665445	2	SE	0.995917715745	0.9979098071976665
ASM#226	NA	2	SE	NA	NA
ASM#227	0.009781036836230002	2	SE	0.9927216504066667	0.9829406135706665
ASM#228	0.1127573308416665	6	NA	0.8387566137566665	0.725999282915
ASM#229	0.08805675023466675	3	NA	0.9806722689076667	0.8926155186729999
ASM#230	0.006121516497666679	3	NA	0.617683589505	0.6238051060026667
