ASM_name	total_isoforms	total_exons	total_read_count_group_1	total_read_count_group_2	iso_p_value	TruePsiDiff	turbo_p_value	majiq_p_value	leafcutter_p_value	jum_p_value
ASM2601	3	6	217	329	0.672045952	0.035696258	0.125	NA	NA	0.144
ASM2602	4	13	2802	3442	0.088661101	0.134057397	NA	NA	NA	0.164
ASM2603	2	3	166	351	0.991402903	0.067656964	0.949	NA	NA	0.108
ASM2604	3	5	809	1469	0.457690193	0.014978312	0.593	NA	NA	NA
ASM2605	3	4	500	821	0.056436457	0.416666667	NA	NA	NA	NA
ASM2606	4	35	24545	15966	0.463868828	0.04126047	NA	NA	0.617	0.138
ASM2607	9	23	4490	5158	0.089808472	0.175859474	0.000248	NA	NA	0.189
ASM2608	3	25	13284	38555	0.456755158	0.023427392	0.284	NA	0.464	0.054
ASM2609	4	30	8130	1464	4.49E-07	0.380673608	7.93E-07	NA	NA	0.0544
ASM2610	5	20	17244	5369	0.397253021	0.08187781	3.06E-14	NA	0.0298	0.0283
ASM2611	8	19	48452	44454	NA	0.205311355	1	NA	NA	0.0456
ASM2612	9	17	14444	23485	NA	0.133333333	6.74E-05	NA	NA	NA
ASM2613	3	9	4029	5307	0.178414285	0	1	NA	NA	NA
ASM2614	8	15	6585	11943	0.28814448	0.069522695	0.0169	NA	0.767	0.0311
ASM2615	3	7	1971	2569	0.014242438	0.072628285	NA	0.000000254	0.977	0.07
ASM2616	7	19	48114	54198	1	0	NA	NA	NA	NA
ASM2617	2	5	1508	1688	0.582003285	0.017469713	NA	NA	NA	NA
ASM2618	9	18	3817	4885	0.041878487	0.333333333	0.027	NA	0.507	0.0314
ASM2619	7	34	45389	40700	1	0.018198732	NA	NA	NA	0.028
ASM2620	4	5	1611	2239	0.023119743	0.076527603	NA	NA	0.119	0.045
ASM2621	3	4	3114	4522	0.008410804	0.121897012	0.000361	NA	0.00111	0.0395
ASM2622	2	4	2354	3437	0.883886005	0	NA	NA	NA	NA
ASM2623	4	10	1063	654	0.091947973	0.295238095	NA	NA	NA	0.239
ASM2624	4	16	3579	4545	0.863624822	0.038920764	0.00589	NA	0.0117	0.0541
ASM2625	2	4	279	276	0.944684337	0.019569196	0.817	NA	NA	0.649
ASM2626	8	23	4312	4510	5.71E-05	0.07255884	2.13E-08	0.31	0.496	0.0352
ASM2627	3	5	435	105	0.001831361	0.202564103	NA	NA	NA	NA
ASM2628	2	4	6	8	0.799567872	0	NA	NA	NA	NA
ASM2629	6	12	56	151	NA	0	1	NA	NA	NA
ASM2630	8	28	7124	11314	0.901531608	0	0.00193	NA	NA	0.171
ASM2631	2	3	934	1061	0.197495746	0.082539683	0.174	NA	NA	NA
ASM2632	2	3	863	1005	0.583678075	0.022615157	0.0433	NA	NA	NA
ASM2633	7	30	544	489	0.097797439	1	0.0293	NA	NA	NA
ASM2634	2	4	1298	1410	0.497580475	0.009133089	NA	NA	NA	0.086
ASM2635	5	7	8727	9162	0.968711879	0.000854701	NA	NA	NA	0.0706
ASM2636	10	18	14346	32136	0.163748793	0.666666667	1.20E-09	NA	0.257	0.0367
ASM2637	6	18	44	176	0.571226353	0.25	NA	NA	NA	NA
ASM2638	2	3	1232	1199	0.672066699	0.00865222	1	NA	NA	NA
ASM2639	6	31	1825	923	0.017479298	0	0.00133	NA	NA	0.614
ASM2640	2	3	179	115	0.975362032	0.009649123	0.623	NA	NA	NA
ASM2641	2	3	184	120	0.743684344	0.072124756	1	NA	NA	NA
ASM2642	2	4	172	0	NA	0.638888889	NA	NA	NA	NA
ASM2643	6	7	3514	5632	0.262150957	0.045047905	0.0492	NA	0.133	0.0231
ASM2644	5	8	13068	20551	NA	0.034195221	1	NA	0.0642	0.0182
ASM2645	2	45	13071	21813	0.403108176	0.206944444	0.0788	NA	NA	0.0567
