ASMID	Match	SE	A3SS	A5SS	MXE	SEFDR5	A3SSFDR5	A5SSFDR5	MXEFDR5	Pmin
ASM#33	MJ_5_Junction_24347_Junction_24348_6.76E-2,MJ_5_Junction_24420_Junction_24422_3.66E-2,MJ_5_Junction_24566_Junction_24567_Junction_24568_1.18E-1,MJ_5_Junction_24566_Junction_24567_Junction_24568_1.04E-1,MJ_intronretentionright-Junction_24386_2.53E-1,MJ_intronretentionleft-Junction_24318_1.95E+0,MJ_intronretentionleft-Junction_24368_6.01E-2,MJ_5_Junction_24347_Junction_24348_1.15E-1,MJ_5_Junction_24317_Junction_24318_6.14E-1,MJ_3_Junction_24318_Junction_24338_5.28E-1,MJ_3_Junction_24348_Junction_24368_8.27E-2,MJ_3_Junction_24318_Junction_24338_6.27E-1,MJ_3_Junction_24386_Junction_24397_5.04E-1,MJ_5_Junction_24420_Junction_24422_2.98E-2,MJ_intronretentionright-Junction_24368_3.27E-2,MJ_3_Junction_24386_Junction_24397_4.24E-1,MJ_5_Junction_24566_Junction_24567_Junction_24568_9.91E-2,MJ_intronretentionleft-Junction_24386_2.13E-2,MJ_5_Junction_24317_Junction_24318_5.17E-1,MJ_3_Junction_24348_Junction_24368_1.32E-1,MJ_intronretentionright-Junction_24318_4.70E-1	21	0	0	0	0	0	0	0	0.0213
ASM#34	MJ_3_Junction_26038_Junction_26058_3.60E-2,MJ_5_Junction_26485_Junction_26486_3.31E-2,MJ_5_Junction_26235_Junction_26236_1.88E-2,MJ_5_Junction_26235_Junction_26236_1.89E-2,MJ_5_Junction_26037_Junction_26038_5.34E-2,MJ_5_Junction_26485_Junction_26486_3.26E-2,MJ_5_Junction_26037_Junction_26038_3.51E-2,MJ_3_Junction_26038_Junction_26058_5.48E-2	8	0	0	0	0	0	0	0	0.0188
ASM#35	MJ_intronretentionright-Junction_27620_1.09E-1,MJ_intronretentionleft-Junction_27620_8.20E-2	2	0	0	0	0	0	0	0	0.082
ASM#36	NA	0	0	0	0	0	0	0	0	1
ASM#37	MJ_intronretentionright-Junction_36474_7.73E-2,MJ_3_Junction_36482_Junction_36483_6.07E-2,MJ_3_Junction_36482_Junction_36483_5.17E-2,MJ_intronretentionleft-Junction_36474_3.71E-1	4	0	0	0	0	0	0	0	0.0517
ASM#38	MJ_3_Junction_37952_Junction_38079_1.97E-1,MJ_3_Junction_37952_Junction_38079_1.86E-1,MJ_3_Junction_38240_Junction_38246_5.31E-1,MJ_3_Junction_38240_Junction_38246_3.93E-1	4	0	0	0	0	0	0	0	0.186
ASM#39	MJ_5_Junction_38408_Junction_38409_1.34E-2,MJ_intronretentionright-Junction_38332_1.49E-1,MJ_intronretentionleft-Junction_38480_6.81E-2,MJ_intronretentionright-Junction_38481_3.71E-2,MJ_intronretentionleft-Junction_38332_1.08E-1,MJ_5_Junction_38332_Junction_38333_4.59E-2,MJ_intronretentionleft-Junction_38333_7.87E-2,MJ_3_Junction_38333_Junction_38342_Junction_38377_1.23E-2,MJ_intronretentionright-Junction_38377_1.37E-1,MJ_intronretentionleft-Junction_38342_4.78E-2,MJ_intronretentionright-Junction_38342_1.35E-1,MJ_3_Junction_38409_Junction_38458_1.60E-2,MJ_intronretentionright-Junction_38332_2.02E-1,MJ_5_Junction_38332_Junction_38333_4.28E-2,MJ_5_Junction_38480_Junction_38481_7.51E-2,MJ_intronretentionright-Junction_38333_1.57E-1,MJ_3_Junction_38409_Junction_38458_1.59E-2,MJ_intronretentionright-Junction_38480_8.99E-2,MJ_5_Junction_38480_Junction_38481_6.88E-2,MJ_intronretentionleft-Junction_38377_1.00E-1,MJ_3_Junction_38333_Junction_38342_Junction_38377_2.37E-2,MJ_intronretentionleft-Junction_38481_3.07E-2,MJ_3_Junction_38333_Junction_38342_Junction_38377_1.09E-2	23	0	0	0	0	0	0	0	0.0109
ASM#40	MJ_5_Junction_38578_Junction_38579_6.98E-2,MJ_3_Junction_38539_Junction_38541_6.17E-2,MJ_5_Junction_38578_Junction_38579_5.32E-2,MJ_3_Junction_38539_Junction_38541_7.58E-2	4	0	0	0	0	0	0	0	0.0532
ASM#41	MJ_5_Junction_39541_Junction_39542_1.06E-1,MJ_3_Junction_39542_Junction_39559_7.71E-2,MJ_3_Junction_39542_Junction_39559_9.12E-2,MJ_5_Junction_39541_Junction_39542_1.20E-1	4	0	0	0	0	0	0	0	0.0771
ASM#42	MJ_5_Junction_41659_Junction_41660_Junction_41661_2.21E-1,MJ_5_Junction_41662_Junction_41663_2.44E-2,MJ_5_Junction_41655_Junction_41656_1.50E-1,MJ_intronretentionright-Junction_41663_1.40E-1,MJ_intronretentionleft-Junction_41663_1.27E-1,MJ_5_Junction_41655_Junction_41656_2.18E-1,MJ_5_Junction_41659_Junction_41660_Junction_41661_9.00E-2,MJ_5_Junction_41662_Junction_41663_2.46E-2,MJ_5_Junction_41659_Junction_41660_Junction_41661_5.89E-2	9	0	0	0	0	0	0	0	0.0244
ASM#43	MJ_3_Junction_49890_Junction_49897_6.00E-1,MJ_3_Junction_49890_Junction_49897_4.12E-1,MJ_intronretentionleft-Junction_49870_7.02E-2,MJ_intronretentionright-Junction_49870_6.94E-2,MJ_intronretentionright-Junction_49870_1.55E-1	5	0	0	0	0	0	0	0	0.0694
ASM#44	MJ_3_Junction_50031_Junction_50036_1.50E-1,MJ_5_Junction_50017_Junction_50018_1.91E-1,MJ_5_Junction_50030_Junction_50031_1.14E-1,MJ_5_Junction_50044_Junction_50045_5.90E-2,MJ_3_Junction_50018_Junction_50022_2.95E-1,MJ_5_Junction_50279_Junction_50280_Junction_50281_1.77E-1,MJ_3_Junction_50018_Junction_50022_2.82E-1,MJ_5_Junction_50017_Junction_50018_2.07E-1,MJ_5_Junction_50044_Junction_50045_6.54E-2,MJ_3_Junction_50443_Junction_50651_1.11E-1,MJ_3_Junction_50443_Junction_50651_1.60E-1,MJ_3_Junction_50045_Junction_50058_6.79E-2,MJ_3_Junction_50001_Junction_50003_9.31E-2,MJ_5_Junction_50279_Junction_50280_Junction_50281_1.61E-1,MJ_5_Junction_50279_Junction_50280_Junction_50281_1.62E-1,MJ_5_Junction_50030_Junction_50031_1.55E-1,MJ_3_Junction_50031_Junction_50036_9.70E-2,MJ_3_Junction_50001_Junction_50003_1.06E-1,MJ_3_Junction_50045_Junction_50058_5.95E-2	19	0	0	0	0	0	0	0	0.059
ASM#45	MJ_5_Junction_51130_Junction_51131_1.56E-1,MJ_5_Junction_51130_Junction_51131_1.25E-1,MJ_3_Junction_51131_Junction_51132_5.63E-2,MJ_intronretentionleft-Junction_51110_3.22E-2,MJ_intronretentionright-Junction_51110_3.40E-2,MJ_3_Junction_51131_Junction_51132_8.46E-2	6	0	0	0	0	0	0	0	0.0322
ASM#46	NA	0	0	0	0	0	0	0	0	1
ASM#47	NA	0	0	0	0	0	0	0	0	1
ASM#48	NA	0	0	0	0	0	0	0	0	1
ASM#49	MJ_intronretentionleft-Junction_51599_1.01E-1,MJ_intronretentionright-Junction_51599_8.17E-2	2	0	0	0	0	0	0	0	0.0817
ASM#50	MJ_intronretentionright-Junction_51616_1.46E-1,MJ_intronretentionright-Junction_51695_4.66E-2,MJ_intronretentionleft-Junction_51695_5.99E-2,MJ_3_Junction_51699_Junction_51700_1.79E-1,MJ_intronretentionleft-Junction_51616_3.20E-2,MJ_3_Junction_51699_Junction_51700_2.37E-1,MJ_intronretentionleft-Junction_51693_1.66E-1,MJ_intronretentionright-Junction_51616_1.26E-1,MJ_intronretentionright-Junction_51693_7.11E-2	9	0	0	0	0	0	0	0	0.032
ASM#51	NA	0	0	0	0	0	0	0	0	1
ASM#52	NA	0	0	0	0	0	0	0	0	1
ASM#53	NA	0	0	0	0	0	0	0	0	1
ASM#54	NA	0	0	0	0	0	0	0	0	1
ASM#55	MJ_3_Junction_70579_Junction_70581_5.47E-1,MJ_3_Junction_70588_Junction_70591_Junction_70628_3.02E-1,MJ_5_Junction_70587_Junction_70588_6.62E-2,MJ_3_Junction_70588_Junction_70591_Junction_70628_1.05E-1,MJ_3_Junction_70588_Junction_70591_Junction_70628_1.40E-1,MJ_5_Junction_70587_Junction_70588_6.97E-2,MJ_3_Junction_70579_Junction_70581_4.32E-1	7	0	0	0	0	0	0	0	0.0662
ASM#56	NA	0	0	0	0	0	0	0	0	1
